file_id	file_format	file_size	md5_unencrypted	run_accession
JGAF00000009160	bam	250000	ad03b33500b06b74faeef8c20c700000	JGAR000000010
JGAF00000009161	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000011
JGAF00000009162	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000012
JGAF00000009163	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000013
JGAF00000009164	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000014
JGAF00000009165	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000015
JGAF00000009166	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000016
JGAF00000009167	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000017
JGAF00000009168	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000018
JGAF00000009169	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000019
JGAF00000009170	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000020
JGAF00000009171	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000021
JGAF00000009172	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000022
JGAF00000009173	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000023
JGAF00000009174	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000024
JGAF00000009175	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000025
JGAF00000009176	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000026
JGAF00000009177	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000027
JGAF00000009178	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000028
JGAF00000009179	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000029
JGAF00000009180	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000030
JGAF00000009181	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000031
JGAF00000009182	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000032
JGAF00000009183	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000033
JGAF00000009184	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000034
JGAF00000009185	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000035
JGAF00000009186	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000036
JGAF00000009187	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000037
JGAF00000009188	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000038
JGAF00000009189	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000039
JGAF00000009190	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000040
JGAF00000009191	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000041
JGAF00000009192	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000042
JGAF00000009193	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000043
JGAF00000009194	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000044
JGAF00000009195	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000045
JGAF00000009196	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000046
JGAF00000009197	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000047
JGAF00000009198	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000048
JGAF00000009199	bam	250000	419602efa71f471e16dce20b61c00000	JGAR000000049
JGAF00000009160	raw_microarray	159904951	ad03b33500b06b74faeef8c20c700000	JGAZ000000010
JGAF00000009161	bam	176181299	419602efa71f471e16dce20b61c00000	JGAZ000000011
JGAF00000009162	vcf	132444388	c678d9f8fe192af70c4547667b900000	JGAZ000000012
