file_id	file_format	file_size	md5_unencrypted	run_accession
JGAF00000010160	fastq	300000	ad03b33500b06b74faeef8c20c700000	JGAR000000100
JGAF00000010161	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000101
JGAF00000010162	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000102
JGAF00000010163	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000103
JGAF00000010164	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000104
JGAF00000010165	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000105
JGAF00000010166	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000106
JGAF00000010167	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000107
JGAF00000010168	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000108
JGAF00000010169	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000109
JGAF00000010170	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000110
JGAF00000010171	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000111
JGAF00000010172	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000112
JGAF00000010173	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000113
JGAF00000010174	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000114
JGAF00000010175	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000115
JGAF00000010176	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000116
JGAF00000010177	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000117
JGAF00000010178	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000118
JGAF00000010179	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000119
JGAF00000010180	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000120
JGAF00000010181	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000121
JGAF00000010182	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000122
JGAF00000010183	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000123
JGAF00000010184	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000124
JGAF00000010185	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000125
JGAF00000010186	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000126
JGAF00000010187	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000127
JGAF00000010188	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000128
JGAF00000010189	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000129
JGAF00000010190	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000130
JGAF00000010191	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000131
JGAF00000010192	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000132
JGAF00000010193	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000133
JGAF00000010194	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000134
JGAF00000010195	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000135
JGAF00000010196	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000136
JGAF00000010197	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000137
JGAF00000010198	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000138
JGAF00000010199	fastq	300000	419602efa71f471e16dce20b61c00000	JGAR000000139
