Accession number	Publication number
DD278344	WO 2001012813-A/1
BD091582	WO 2001025459-A/1
BD091583	WO 2001025459-A/2
BD091584	WO 2001025459-A/3
BD091585	WO 2001025459-A/4
BD091586	WO 2001025459-A/5
BD091457	WO 2001038527-A/1
BD091458	WO 2001038527-A/2
BD091459	WO 2001038527-A/3
BD091460	WO 2001038527-A/4
BD091461	WO 2001038527-A/5
BD091462	WO 2001038527-A/6
BD091463	WO 2001038527-A/7
BD091464	WO 2001038527-A/8
BD091465	WO 2001040462-A/1
BD091466	WO 2001040462-A/2
BD091467	WO 2001040462-A/3
BD091468	WO 2001040462-A/4
BD091469	WO 2001040462-A/5
BD091470	WO 2001040462-A/6
BD091471	WO 2001040462-A/7
BD091472	WO 2001040462-A/8
BD091473	WO 2001040462-A/9
BD091474	WO 2001040462-A/10
BD091475	WO 2001040462-A/11
BD091476	WO 2001040462-A/12
BD091477	WO 2001040462-A/13
BD091478	WO 2001040462-A/14
BD091587	WO 2000031257-A/1
BD091588	WO 2000031257-A/2
BD091589	WO 2000031257-A/3
BD091590	WO 2000031257-A/4
BD091591	WO 2000031257-A/5
BD091592	WO 2000031257-A/6
BD091593	WO 2000031257-A/7
BD091594	WO 2000031257-A/8
BD091595	WO 2000031257-A/9
BD091596	WO 2000031257-A/10
BD091597	WO 2000031257-A/11
BD091598	WO 2000031257-A/12
BD091599	WO 2000031257-A/13
BD091600	WO 2000031257-A/14
BD091601	WO 2000031257-A/15
BD091602	WO 2000031257-A/16
BD091603	WO 2000031257-A/17
BD091604	WO 2000031257-A/18
BD091605	WO 2000031257-A/19
BD091606	WO 2000031257-A/20
BD091607	WO 2000031257-A/21
BD091608	WO 2000031257-A/22
BD091609	WO 2000031257-A/23
BD091610	WO 2000031257-A/24
BD091611	WO 2000031257-A/25
BD091612	WO 2000031257-A/26
BD091613	WO 2000031257-A/27
BD091614	WO 2000031257-A/28
BD091615	WO 2000031257-A/29
BD091616	WO 2000031257-A/30
BD091617	WO 2000031257-A/31
BD091618	WO 2000031257-A/32
BD091619	WO 2000031257-A/33
BD091620	WO 2000031257-A/34
BD091621	WO 2000031257-A/35
BD091622	WO 2000031257-A/36
BD092113	WO 2001037643-A/1
BD092114	WO 2001037643-A/2
BD092115	WO 2001037643-A/3
BD092116	WO 2001037643-A/4
BD092117	WO 2001037643-A/5
BD092118	WO 2001037643-A/6
BD092119	WO 2001037643-A/7
BD092120	WO 2001037643-A/8
BD092121	WO 2001037643-A/9
BD092122	WO 2001037643-A/10
BD092123	WO 2001037644-A/1
BD092124	WO 2001037644-A/2
BD092125	WO 2001037644-A/3
BD092126	WO 2001037644-A/4
BD091479	WO 2001048226-A/1
BD091480	WO 2001048226-A/2
BD011686	WO 2000040610-A/1
BD011687	WO 2000040610-A/2
BD011688	WO 2000040610-A/3
BD091481	WO 2001059124-A/1
BD091482	WO 2001059124-A/2
BD091483	WO 2001059124-A/3
BD091484	WO 2001059124-A/4
BD091485	WO 2001059124-A/5
BD091486	WO 2001059124-A/6
BD091487	WO 2001059124-A/7
BD091488	WO 2001059124-A/8
BD091489	WO 2001059124-A/9
BD091490	WO 2001059124-A/10
BD091491	WO 2001059124-A/11
BD091492	WO 2001059119-A/1
BD091493	WO 2001059119-A/2
BD091494	WO 2001059119-A/3
BD091495	WO 2001059119-A/4
BD091496	WO 2001059119-A/5
BD091497	WO 2001059119-A/6
BD091498	WO 2001059119-A/7
BD091499	WO 2001059119-A/8
BD091500	WO 2001032860-A/1
BD091501	WO 2001032860-A/2
BD091502	WO 2001032860-A/3
BD091503	WO 2001032860-A/4
BD091504	WO 2001032860-A/5
BD091505	WO 2001032860-A/6
BD091506	WO 2001032860-A/7
BD091507	WO 2001032860-A/8
BD091508	WO 2001032860-A/9
BD091509	WO 2001032860-A/10
BD091510	WO 2001032860-A/11
BD091511	WO 2001032860-A/12
BD091512	WO 2001032860-A/13
BD091513	WO 2001032860-A/14
BD091514	WO 2001032860-A/15
BD091515	WO 2001032860-A/16
BD091516	WO 2001032860-A/17
BD091517	WO 2001032860-A/18
BD091518	WO 2001032860-A/19
BD091519	WO 2001032860-A/20
BD091520	WO 2001032860-A/21
BD091521	WO 2001061351-A/1
BD091522	WO 2001061351-A/2
BD091523	WO 2001061351-A/3
BD091524	WO 2001061351-A/4
BD091525	WO 2001061351-A/5
BD091526	WO 2001061351-A/6
BD091527	WO 2001061351-A/7
BD091528	WO 2001061351-A/8
BD091529	WO 2001061351-A/9
BD091530	WO 2000049149-A/1
BD091531	WO 2000049149-A/2
BD091532	WO 2000049149-A/3
BD091533	WO 2000049149-A/4
BD091534	WO 2000049149-A/5
BD091535	WO 2000049149-A/6
BD091536	WO 2000049149-A/7
BD091537	WO 2000049149-A/8
BD091538	WO 2001048149-A/1
BD091539	WO 2001048149-A/2
BD091540	WO 2001048149-A/3
BD091541	WO 2001048149-A/4
BD091542	WO 2001048149-A/5
BD091543	WO 2001048149-A/6
BD091544	WO 2001048149-A/7
BD091545	WO 2001048149-A/8
BD091546	WO 2001048149-A/9
BD091547	WO 2001048149-A/10
BD091548	WO 2001048149-A/11
BD091549	WO 2001048149-A/12
BD091550	WO 2001048149-A/13
BD091551	WO 2001048149-A/14
BD091552	WO 2001048149-A/15
BD091553	WO 2001048149-A/16
BD091554	WO 2001048149-A/17
BD091555	WO 2001048149-A/18
BD091556	WO 2001048149-A/19
BD091557	WO 2001048149-A/20
BD091558	WO 2001048149-A/21
BD091559	WO 2001048149-A/22
BD091560	WO 2001048149-A/23
BD091561	WO 2001048149-A/24
BD091562	WO 2001048149-A/25
BD091563	WO 2001048149-A/26
BD091564	WO 2001048149-A/27
BD091565	WO 2001048149-A/28
BD091566	WO 2001048149-A/29
BD091567	WO 2001048149-A/30
BD091568	WO 2001048149-A/31
BD091569	WO 2001048149-A/32
BD091570	WO 2001048149-A/33
BD091571	WO 2001048149-A/34
BD091572	WO 2001048149-A/35
BD091573	WO 2001048149-A/36
BD091574	WO 2001048149-A/37
BD091575	WO 2001048149-A/38
BD091576	WO 2001048149-A/39
BD091577	WO 2001048149-A/40
BD091578	WO 2001048149-A/41
BD091579	WO 2001048149-A/42
BD091580	WO 2001048149-A/43
BD091581	WO 2001048149-A/44
BD091630	WO 2001053459-A/1
BD091631	WO 2001053459-A/2
BD091632	WO 2001053459-A/3
BD091633	WO 2001053459-A/4
BD091634	WO 2001053459-A/5
BD091635	WO 2001053459-A/6
BD091636	WO 2000073791-A/1
BD091637	WO 2001034790-A/1
BD091638	WO 2001034790-A/2
BD091639	WO 2001034790-A/3
BD091640	WO 2001034790-A/4
BD091641	WO 2001034790-A/5
BD091642	WO 2001034790-A/6
BD091643	WO 2001034790-A/7
BD091644	WO 2001034790-A/8
BD091645	WO 2001034790-A/9
BD091646	WO 2001034790-A/10
BD091647	WO 2001034790-A/11
BD091648	WO 2001034790-A/12
BD091649	WO 2001034790-A/13
BD091650	WO 2001034790-A/14
BD091651	WO 2001034790-A/15
BD091652	WO 2001034790-A/16
BD091653	WO 2001034790-A/17
BD091654	WO 2001034790-A/18
BD091655	WO 2001034790-A/19
BD091656	WO 2001034790-A/20
BD091657	WO 2001034790-A/21
BD091658	WO 2001034790-A/22
BD091659	WO 2001034790-A/23
BD091660	WO 2001034790-A/24
BD091661	WO 2001034790-A/25
BD091662	WO 2001034790-A/26
BD091663	WO 2001034790-A/27
BD091664	WO 2001034790-A/28
BD091665	WO 2001034790-A/29
BD091666	WO 2001027263-A/1
BD091667	WO 2001027263-A/2
BD091668	WO 2001027263-A/3
BD091669	WO 2001027263-A/4
BD091670	WO 2001027263-A/5
BD091671	WO 2001027263-A/6
BD091672	WO 2001027263-A/7
BD091673	WO 2001027263-A/8
BD091674	WO 2001027263-A/9
BD091675	WO 2001027263-A/10
BD091676	WO 2001027263-A/11
BD091677	WO 2001027263-A/12
BD091678	WO 2001027263-A/13
BD091679	WO 2001027263-A/14
BD091680	WO 2001027263-A/15
BD091681	WO 2001027263-A/16
BD091682	WO 2001027263-A/17
BD091683	WO 2001027263-A/18
BD091684	WO 2001038507-A/1
BD091685	WO 2001038507-A/2
BD091686	WO 2001038507-A/3
BD091687	WO 2001038507-A/4
BD091688	WO 2001038507-A/5
BD091689	WO 2001000797-A/1
BD091690	WO 2001000797-A/2
BD091691	WO 2001000797-A/3
BD091692	WO 2001000797-A/4
BD091693	WO 2001000797-A/5
BD091694	WO 2001075136-A/1
BD091695	WO 2001075069-A/1
BD011689	WO 2000063392-A/1
BD011690	WO 2000063392-A/2
BD011691	WO 2000063392-A/3
BD011692	WO 2000063392-A/4
BD011693	WO 2000063392-A/5
BD011694	WO 2000063392-A/6
BD011695	WO 2000063392-A/7
BD011696	WO 2000063392-A/8
BD011697	WO 2000063392-A/9
BD011698	WO 2000063392-A/10
BD011699	WO 2000063392-A/11
BD011700	WO 2000063392-A/12
BD011701	WO 2000063392-A/13
BD011702	WO 2000063392-A/14
BD011703	WO 2000063392-A/15
BD011704	WO 2000063392-A/16
BD011705	WO 2000063392-A/17
BD011706	WO 2000063392-A/18
BD011707	WO 2000063392-A/19
BD011708	WO 2000063392-A/20
BD011709	WO 2000063392-A/21
BD011710	WO 2000063392-A/22
