Rank 	Journal Name 	Counts
1	J BIOL CHEM	12781
2	PROC NATL ACAD SCI U S A	10127
3	GENE	8660
4	J BACTERIOL	8072
5	INT J SYST EVOL MICROBIOL	7701
6	PLOS ONE	7396
7	NUCLEIC ACIDS RES	7090
8	APPL ENVIRON MICROBIOL	6035
9	BIOCHEM BIOPHYS RES COMMUN	4418
10	J VIROL	4258
11	MOL PHYLOGENET EVOL	4115
12	GENOMICS	3361
13	BIOCHIM BIOPHYS ACTA	3169
14	VIROLOGY	3056
15	PLANT MOL BIOL	3022
16	J CLIN MICROBIOL	3013
17	FEBS LETT	2979
18	NATURE	2917
19	PLANT PHYSIOL	2805
20	MOL CELL BIOL	2792
21	J GEN VIROL	2744
22	EMBO J	2665
23	MOL ECOL	2574
24	FEMS MICROBIOL LETT	2502
25	GENOME ANNOUNC	2491
26	CELL	2440
27	ARCH VIROL	2368
28	MOL MICROBIOL	2322
29	EUR J BIOCHEM	2219
30	MICROBIOLOGY	2219
31	THESIS	2208
32	MOL BIOL EVOL	2060
33	INFECT IMMUN	2054
34	PLANT DIS	2051
35	MOL GEN GENET	2004
36	MOL BIOCHEM PARASITOL	1987
37	ANTIMICROB AGENTS CHEMOTHER	1986
38	J IMMUNOL	1909
39	SCIENCE	1767
40	GENETICS	1741
41	APPL MICROBIOL BIOTECHNOL	1733
42	J MOL BIOL	1660
43	IMMUNOGENETICS	1655
44	BIOCHEM J	1611
45	MOL ECOL NOTES	1558
46	BMC GENOMICS	1552
47	PLANT J	1413
48	EMERGING INFECT DIS	1381
49	PLANT CELL	1370
50	DEVELOPMENT	1362
51	VIRUS RES	1314
52	J MOL EVOL	1281
53	ZOOTAXA	1271
54	BMC EVOL BIOL	1269
55	FISH SHELLFISH IMMUNOL	1261
56	AIDS RES HUM RETROVIRUSES	1258
57	VET MICROBIOL	1255
58	FEMS MICROBIOL ECOL	1200
59	VIRUS GENES	1199
60	SCI REP	1191
61	ENVIRON MICROBIOL	1181
62	BIOSCI BIOTECHNOL BIOCHEM	1156
63	TISSUE ANTIGENS	1128
64	ANTONIE VAN LEEUWENHOEK	1109
65	AM J BOT	1102
66	ANIM GENET	1096
67	ONCOGENE	1094
68	DEV BIOL	1071
69	SYST APPL MICROBIOL	1024
70	J CELL BIOL	1022
71	J MED VIROL	1022
72	HUM MOL GENET	1012
73	MOL ECOL RESOUR	1001
74	CURR GENET	997
75	BIOCHEMISTRY	982
76	INFECT GENET EVOL	980
77	MOL BIOL REP	977
78	GENES DEV	960
79	INSECT BIOCHEM MOL BIOL	956
80	MYCOLOGIA	954
81	CURR MICROBIOL	909
82	J BIOCHEM	869
83	MECH DEV	858
84	CONSERV GENET RESOUR	844
85	MAMM GENOME	843
86	INT J SYST BACTERIOL	839
87	NAT GENET	838
88	DNA SEQ	835
89	MOL PLANT MICROBE INTERACT	834
90	PARASITOL RES	819
91	YEAST	773
92	CONSERV GENET	771
93	INSECT MOL BIOL	764
94	PLANT CELL PHYSIOL	750
95	VET PARASITOL	746
96	COMP BIOCHEM PHYSIOL B, BIOCHEM MOL BIOL	731
97	ARCH MICROBIOL	724
98	SYST BOT	724
99	DEV COMP IMMUNOL	723
100	J INFECT DIS	716
101	PLANTA	713
102	BIORESOUR TECHNOL	710
103	J APPL MICROBIOL	707
104	FRONT MICROBIOL	702
105	PLANT SCI	699
106	MOL IMMUNOL	687
107	J EXP BOT	682
108	INT J PARASITOL	678
109	GEN COMP ENDOCRINOL	677
110	J PHYCOL	676
111	MYCOL RES	676
112	GENOME RES	673
113	BLOOD	665
114	THEOR APPL GENET	662
115	J EXP MED	655
116	ENDOCRINOLOGY	628
117	PLASMID	616
118	CURR BIOL	614
119	J ANTIMICROB CHEMOTHER	604
120	MICROB ECOL	604
121	J EUKARYOT MICROBIOL	601
122	GENOME	593
123	EVOLUTION	590
124	J BIOGEOGR	589
125	VIROL J	582
126	BMC MICROBIOL	577
127	BIOL J LINN SOC LOND	573
128	CANCER RES	572
129	TAXON	569
130	PARASIT VECTORS	559
131	FUNGAL GENET BIOL	556
132	PHYTOPATHOLOGY	554
133	ARCH BIOCHEM BIOPHYS	553
134	DNA CELL BIOL	548
135	NEW PHYTOL	542
136	J PARASITOL	536
137	DEV DYN	531
138	ISME J	527
139	EXP PARASITOL	522
140	J NEUROSCI	517
141	PARASITOLOGY	516
142	CAN J MICROBIOL	507
143	PLANT PATHOL	504
144	BIOL REPROD	498
145	WORLD J MICROBIOL BIOTECHNOL	498
146	J BIOSCI BIOENG	497
147	ZOOL SCI	497
148	MITOCHONDRIAL DNA	495
149	DEV GENES EVOL	487
150	EXTREMOPHILES	484
151	MOL GENET GENOMICS	473
152	BMC PLANT BIOL	472
153	MOL BIOL CELL	471
154	EUR J IMMUNOL	468
155	J MED MICROBIOL	467
156	J CELL SCI	465
157	AM J HUM GENET	458
158	PLOS PATHOG	454
159	AM J TROP MED HYG	446
160	GENET MOL RES	445
161	PLANT SYST EVOL	440
162	ZOOL SCR	440
163	EUKARYOTIC CELL	439
164	J CLIN VIROL	437
165	PROC BIOL SCI	437
166	MOL ENDOCRINOL	432
167	J VIROL METHODS	431
168	PHYTOTAXA	421
169	BRAIN RES MOL BRAIN RES	420
170	VET IMMUNOL IMMUNOPATHOL	415
171	ZOOKEYS	415
172	MAR BIOL	413
173	J MICROBIOL	407
174	PLOS NEGL TROP DIS	407
175	AQUACULTURE	405
176	EUR J PLANT PATHOL	403
177	PLOS GENET	403
178	RES MICROBIOL	403
179	MYCOL PROG	398
180	NEURON	392
181	PROTIST	392
182	CYTOGENET CELL GENET	391
183	J MICROBIOL BIOTECHNOL	390
184	J HERED	387
185	J CLIN INVEST	384
186	J VET MED SCI	382
187	PLANT PHYSIOL BIOCHEM	382
188	INT J FOOD MICROBIOL	377
189	J PLANT PHYSIOL	371
190	HEREDITY	370
191	MAR BIOTECHNOL	369
192	FUNGAL BIOL	366
193	ZOOL J LINN SOC	362
194	MICROBIOL IMMUNOL	361
195	DNA RES	358
196	J EXP BIOL	354
197	BIOTECHNOL LETT	353
198	J GEN PLANT PATHOL	341
199	APPL BIOCHEM BIOTECHNOL	340
200	J GEN APPL MICROBIOL	337
201	J INVERTEBR PATHOL	337
202	MYCOSCIENCE	337
203	STAND GENOMIC SCI	337
204	J GEN MICROBIOL	335
205	J NEUROCHEM	334
206	LETT APPL MICROBIOL	333
207	SYST BIOL	326
208	VACCINE	326
209	FRONT PLANT SCI	323
210	MOL CELL ENDOCRINOL	321
211	J FISH BIOL	319
212	NAT COMMUN	319
213	MOL REPROD DEV	310
214	PROTEIN EXPR PURIF	309
215	J MAMMAL	307
216	FEBS J	306
217	AVIAN DIS	305
218	HUM GENET	304
219	GENOME BIOL EVOL	302
220	TOXICON	295
221	PARASITOL INT	294
222	GENETICA	292
223	J MICROBIOL METHODS	292
224	DIS AQUAT ORG	291
225	INT BIODETERIOR BIODEGRADATION	289
226	MICROBES ENVIRON	289
227	MOL BIOL	287
228	J BIOTECHNOL	281
229	INT J MOL SCI	276
230	PHYCOLOGIA	275
231	PLANT CELL REP	275
232	J AGRIC FOOD CHEM	273
233	J IND MICROBIOL BIOTECHNOL	273
234	PEPTIDES	273
235	J MED ENTOMOL	270
236	PLANT MOL BIOL REP	270
237	J PHYTOPATHOL	269
238	BIOCHIMIE	268
239	ANN ENTOMOL SOC AM	259
240	BIOCHEM SYST ECOL	259
241	GENE EXPR PATTERNS	259
242	SOIL BIOL BIOCHEM	257
243	PROC R SOC LOND , B, BIOL SCI	249
244	PHYTOCHEMISTRY	248
245	AM J PHYSIOL	246
246	FEMS YEAST RES	246
247	ACTA TROP	245
248	BIOCHEM GENET	245
249	MICROBIOL RES	243
250	MITOCHONDRIAL DNA B RESOUR	241
251	DNA	239
252	CHROMOSOMA	238
253	VECTOR BORNE ZOONOTIC DIS	237
254	ENVIRON SCI TECHNOL	236
255	ANN MICROBIOL	232
256	MED MYCOL	231
257	SYST ENTOMOL	231
258	MYCOTAXON	227
259	J EVOL BIOL	226
260	NEMATOLOGY	226
261	PERSOONIA	226
262	CYTOGENET GENOME RES	225
263	ANN BOT	224
264	FUNGAL DIVERS	224
265	GENES GENET SYST	223
266	FISH SCI	222
267	BOT J LINN SOC	218
268	ECOL EVOL	213
269	MYCORRHIZA	213
270	J FISH DIS	212
271	DIAGN MICROBIOL INFECT DIS	211
272	COMP BIOCHEM PHYSIOL , PART A MOL INTEGR PHYSIOL	208
273	J INSECT PHYSIOL	207
274	MOL CELL PROBES	207
275	J MOL ENDOCRINOL	206
276	PEERJ	206
277	HYDROBIOLOGIA	203
278	HUM IMMUNOL	202
279	MOL PHARMACOL	202
280	AIDS	201
281	J NAT PROD	201
282	MOL PLANT PATHOL	200
283	MOL CELLS	197
284	AQUAT TOXICOL	196
285	SYST PARASITOL	195
286	STUD MYCOL	194
287	CLADISTICS	193
288	GLYCOBIOLOGY	192
289	PLOS BIOL	191
290	EXP CELL RES	190
291	MOL CELL	190
