Rank	Organism	Nucleotides	Entries
1	human gut metagenome	284154563729	165539630
2	Homo sapiens	251715538913	34410691
3	marine metagenome	118119177531	123023991
4	metagenome	73800915288	100669547
5	Triticum aestivum	73573447412	32659161
6	Picea glauca	66050360074	19118523
7	Mus musculus	55141940726	13646542
8	human metagenome	48501703083	60960359
9	soil metagenome	47305337596	119302125
10	Escherichia coli	42741356539	1891844
11	Sus scrofa	40334636325	5052443
12	Ambystoma mexicanum	34837362219	4264807
13	gut metagenome	28599978303	34548358
14	Pinus taeda	22366157797	2210396
15	Triticum dicoccoides	20998352692	313817
16	Nicotiana tabacum	17512501576	5573029
17	Hordeum vulgare subsp. vulgare	17487320181	19011672
18	Streptococcus pneumoniae	17244253175	859922
19	Klebsiella pneumoniae	17096335331	506509
20	Pseudomonas aeruginosa	16574565766	453293
21	Mycobacterium tuberculosis	16388671090	536102
22	Pinus lambertiana	15180238660	4207713
23	Pseudotsuga menziesii	14999316555	1602501
24	Solanum verrucosum	13577294868	2251432
25	Zea mays subsp. mays	13518152235	624411
26	Staphylococcus aureus	13286189281	727334
27	Rattus norvegicus	12452848850	3425237
28	Picea abies	11972386816	11358179
29	Bubalus bubalis	11534168045	1950810
30	Hordeum vulgare	11478604818	5133295
31	Galeopterus variegatus	11211786092	2047712
32	seawater metagenome	11197416627	8521541
33	Anolis carolinensis	11006125036	17278885
34	Callithrix jacchus	10891286829	3212467
35	uncultured bacterium	10846573208	28838565
36	Bos taurus	10821733218	2276537
37	Pan troglodytes	10236993715	895388
38	Macaca mulatta	10183204546	1861308
39	Salmonella enterica subsp. enterica serovar Typhi	9950027471	113744
40	Capsicum annuum	9571983945	814417
41	mouse gut metagenome	9150052880	4178989
42	Magnaporthe oryzae	9125328074	1053511
43	Cricetulus griseus	9105919350	981783
44	Macaca fascicularis	8843068799	1430125
45	Rana catesbeiana	8433208715	4822126
46	Nephila clavipes	8286207851	9745557
47	Danio rerio	8247470494	2583469
48	Austrofundulus limnaeus	8151324206	11899535
49	Triticum urartu	8106470261	1639113
50	Lactuca sativa	7826979280	1323578
51	Capra hircus	7824572795	2639529
52	Acinetobacter baumannii	7773613573	355624
53	Zea mays	7758876638	4685416
